run,strategy,processed,wait_critical,wait_economy,revenue,gini,sla_violations
0,FIFO,71,1959.35,2013.5,36210.0,0.40259394665867543,217
0,SIRQ,70,252.19354838709677,0.0,382170.88580881647,0.4395085199765356,217
0,POSTED_PRICE,71,232.09375,0.0,40160.0,0.6108237544946464,217
0,PRIORITY_QUEUE,71,232.09375,0.0,36210.0,0.6108237544946464,217
1,FIFO,72,2245.05,2559.4285714285716,36720.0,0.3790238498631566,198
1,SIRQ,71,160.84848484848484,533.0,397279.2467925804,0.5279721611907695,193
1,POSTED_PRICE,72,265.7647058823529,0.0,41420.0,0.61927364967495,196
1,PRIORITY_QUEUE,72,265.7647058823529,0.0,36720.0,0.61927364967495,196
2,FIFO,72,2140.3333333333335,3117.181818181818,36720.0,0.3224427480092247,198
2,SIRQ,70,247.2051282051282,0.0,561445.7653445402,0.5000874706973164,195
2,POSTED_PRICE,72,241.05,0.0,43520.0,0.6354873391074221,194
2,PRIORITY_QUEUE,72,241.05,0.0,36720.0,0.6354873391074221,194
3,FIFO,72,2231.4285714285716,1702.8,36720.0,0.3996699575294489,206
3,SIRQ,68,141.73076923076923,138.66666666666666,342158.531557043,0.49775636764231046,199
3,POSTED_PRICE,72,264.0,660.5,37970.0,0.5845485869144407,206
3,PRIORITY_QUEUE,72,264.0,660.5,36720.0,0.5845485869144407,206
4,FIFO,71,2507.0,3086.1176470588234,36210.0,0.32774019823313716,223
4,SIRQ,68,252.63888888888889,0.0,365145.9959973788,0.4310243777889966,220
4,POSTED_PRICE,71,285.7027027027027,0.0,42060.0,0.5504359039904261,220
4,PRIORITY_QUEUE,71,285.7027027027027,0.0,36210.0,0.5504359039904261,220
5,FIFO,72,2199.909090909091,3057.8,36720.0,0.35069714178960654,205
5,SIRQ,68,307.0344827586207,0.0,363890.6896018878,0.4146731115844666,202
5,POSTED_PRICE,72,256.3448275862069,0.0,39670.0,0.5615328386581837,204
5,PRIORITY_QUEUE,72,256.3448275862069,0.0,36720.0,0.5615328386581837,204
6,FIFO,71,1898.3333333333333,3535.3571428571427,36210.0,0.3448048989412469,188
6,SIRQ,70,279.59090909090907,0.0,338563.8442915474,0.42075938318300854,188
6,POSTED_PRICE,71,252.30434782608697,0.0,37160.0,0.4787117055272814,188
6,PRIORITY_QUEUE,71,252.30434782608697,0.0,36210.0,0.4787117055272814,188
7,FIFO,72,2430.125,2843.4,36720.0,0.2945024287636542,223
7,SIRQ,68,342.3783783783784,0.0,372509.5888021686,0.5124517951224812,221
7,POSTED_PRICE,72,323.175,0.0,43520.0,0.5760311167352483,222
7,PRIORITY_QUEUE,72,323.175,0.0,36720.0,0.5760311167352483,222
8,FIFO,72,3282.875,2375.5454545454545,36720.0,0.3618670865479916,190
8,SIRQ,69,132.86206896551724,0.0,379857.5853226119,0.464690796996599,188
8,POSTED_PRICE,72,343.62068965517244,0.0,39520.0,0.5662139846942449,190
8,PRIORITY_QUEUE,72,343.62068965517244,0.0,36720.0,0.5662139846942449,190
9,FIFO,72,2542.4545454545455,3339.9333333333334,36720.0,0.3484111636474698,191
9,SIRQ,69,126.67647058823529,0.0,473479.3633404076,0.5575975142467036,185
9,POSTED_PRICE,72,359.6363636363636,0.0,41070.0,0.5784213607019459,190
9,PRIORITY_QUEUE,72,359.6363636363636,0.0,36720.0,0.5784213607019459,190
10,FIFO,72,2716.5,2456.0,36720.0,0.37051884318171524,231
10,SIRQ,69,184.6,0.0,507774.5304998364,0.5201053506288644,227
10,POSTED_PRICE,72,333.65714285714284,0.0,41770.0,0.5987027271955692,230
10,PRIORITY_QUEUE,72,333.65714285714284,0.0,36720.0,0.5987027271955692,230
11,FIFO,72,1946.4285714285713,1901.7857142857142,36720.0,0.3281754873666638,211
11,SIRQ,70,66.14285714285714,39.0,350729.0049398481,0.5513173381620644,204
11,POSTED_PRICE,72,232.3448275862069,33.0,39370.0,0.589316509989555,207
11,PRIORITY_QUEUE,72,232.3448275862069,33.0,36720.0,0.589316509989555,207
12,FIFO,72,2020.0,2037.4285714285713,36720.0,0.33534053621882887,197
12,SIRQ,71,166.79166666666666,413.25,290151.90978463454,0.4946411564426465,197
12,POSTED_PRICE,72,241.12,540.0,37970.0,0.4834452402267979,196
12,PRIORITY_QUEUE,72,241.12,540.0,36720.0,0.4834452402267979,196
13,FIFO,72,3453.6666666666665,2926.2,36720.0,0.32074945935096744,185
13,SIRQ,70,179.44,0.0,459332.4039352626,0.5860462767770358,179
13,POSTED_PRICE,72,250.77777777777777,0.0,38970.0,0.564813807180981,184
13,PRIORITY_QUEUE,72,250.77777777777777,0.0,36720.0,0.564813807180981,184
14,FIFO,72,2870.1428571428573,2635.2,36720.0,0.34359375499717504,163
14,SIRQ,68,185.14285714285714,191.0,308378.6221668615,0.6050994645002341,158
14,POSTED_PRICE,72,280.8181818181818,0.0,37220.0,0.4740392330591645,163
14,PRIORITY_QUEUE,72,280.8181818181818,0.0,36720.0,0.4740392330591645,163
15,FIFO,72,1925.4,2140.25,36720.0,0.3063249518807025,188
15,SIRQ,71,178.08,0.0,335173.20065308857,0.556835978028396,188
15,POSTED_PRICE,72,243.96153846153845,0.0,38620.0,0.49474368356074705,188
15,PRIORITY_QUEUE,72,243.96153846153845,0.0,36720.0,0.49474368356074705,188
16,FIFO,72,3062.3846153846152,2891.0714285714284,36720.0,0.3293423171544738,224
16,SIRQ,70,253.0,0.0,399991.25130297325,0.5147942367454563,223
16,POSTED_PRICE,72,336.35483870967744,0.0,40220.0,0.5339879294064398,224
16,PRIORITY_QUEUE,72,336.35483870967744,0.0,36720.0,0.5339879294064398,224
17,FIFO,72,2438.0,2497.2,36720.0,0.35889135363046276,218
17,SIRQ,69,134.05882352941177,0.0,325390.70676099334,0.5542540615163982,213
17,POSTED_PRICE,72,309.45454545454544,189.0,40920.0,0.5992676678622526,217
