strategy,metric,baseline_mean,baseline_std,strategy_mean,strategy_std,cohens_d,p_value,pct_change,significant
FIFO,wait_critical_mean,197.4058320259007,78.4067136398633,247.8597885422045,87.4927887655689,0.6073370312050147,0.024352722090099397,25.558493383155962,True
FIFO,wait_standard_mean,202.66512667507286,137.48597995750995,279.9051672660133,146.00944028465926,0.5446659701128377,0.042542356979767014,38.11215173431251,True
FIFO,wait_economy_mean,214.8360928885929,108.16272833316235,286.1927745402745,126.9865234227339,0.6049702035991705,0.02493831812488618,33.21447559963069,True
FIFO,revenue,41410.5,1408.0709913447783,30632.208333333332,1171.6697235024137,-8.321239073761404,1.6378905803979724e-37,-26.02791965000825,True
FIFO,sla_violations,55.96666666666667,7.296041544716025,56.9,7.484873635094539,0.1262786730391056,0.6324298247167368,1.6676593210244135,False
FIFO,gini_overall,0.5191805830541443,0.05044532971956385,0.4573177997613623,0.03865410937682508,-1.3766211495697047,2.669565720391736e-06,-6.1862783292782,True
SIRQ,wait_critical_mean,197.4058320259007,78.4067136398633,83.03346699515268,22.709082967542503,-1.9814856020203653,9.518378409732077e-09,-57.93768292303631,True
SIRQ,wait_standard_mean,202.66512667507286,137.48597995750995,119.10829435627846,81.981160323105,-0.7382090910807908,0.0071638153141287565,-41.22901344184323,True
SIRQ,wait_economy_mean,214.8360928885929,108.16272833316235,214.2671701446701,217.24147700139895,-0.00331540299449429,0.9899862469273102,-0.26481711535213165,False
SIRQ,revenue,41410.5,1408.0709913447783,48853.27659324339,6616.904235404052,1.5558871600835018,1.4116458778433497e-06,17.973162828855944,True
SIRQ,sla_violations,55.96666666666667,7.296041544716025,45.233333333333334,7.614386967372284,-1.4393802020906243,9.642527444946473e-07,-19.178082191780824,True
SIRQ,gini_overall,0.5191805830541443,0.05044532971956385,0.7019725548358999,0.03801959493587966,4.092358260567949,1.2886056182412356e-21,18.279197178175565,True
