strategy,metric,baseline_mean,baseline_std,strategy_mean,strategy_std,cohens_d,p_value,pct_change,significant
SIRQ,wait_critical_mean,247.8597885422045,87.4927887655689,83.03346699515268,22.709082967542503,-2.5787674715190714,2.6408395738625186e-11,-66.49982335435823,True
SIRQ,wait_standard_mean,279.9051672660133,146.00944028465926,119.10829435627846,81.981160323105,-1.3580200071197661,5.029073178075625e-06,-57.44691120936628,True
SIRQ,wait_economy_mean,286.1927745402745,126.9865234227339,214.2671701446701,217.24147700139895,-0.4042313549231199,0.1304814952051492,-25.131872917176906,False
SIRQ,revenue,30632.208333333332,1171.6697235024137,48853.27659324339,6616.904235404052,3.8346875813766097,2.1598148655055918e-15,59.4833649002128,True
SIRQ,sla_violations,56.9,7.484873635094539,45.233333333333334,7.614386967372284,-1.545272688845296,2.115523304097587e-07,-20.503807850029286,True
SIRQ,gini_overall,0.4573177997613623,0.03865410937682508,0.7019725548358999,0.03801959493587966,6.381493634881998,4.3395431193357283e-32,24.465475507453764,True
EDF,wait_critical_mean,247.8597885422045,87.4927887655689,250.11832398208946,113.13422251504946,0.022333108098938962,0.9325394029902604,0.9112149466311589,False
EDF,wait_standard_mean,279.9051672660133,146.00944028465926,189.85989268179958,132.47259117306632,-0.6459237559302177,0.01694082970098915,-32.169922214632585,True
EDF,wait_economy_mean,286.1927745402745,126.9865234227339,173.3437974062974,91.81563362802763,-1.0184426400843598,0.0002934174035040748,-39.431106293739234,True
EDF,revenue,30632.208333333332,1171.6697235024137,29761.229166666668,1325.8056069343168,-0.6961631390615206,0.010368598626575293,-2.84334435568226,True
EDF,sla_violations,56.9,7.484873635094539,55.96666666666667,7.296041544716025,-0.1262786730391056,0.6324298247167368,-1.6403046280023375,False
EDF,gini_overall,0.4573177997613623,0.03865410937682508,0.5388985577698172,0.052127726788023236,1.7778185014804468,1.0164020643922646e-08,8.158075800845493,True
FCFS_R,wait_critical_mean,247.8597885422045,87.4927887655689,197.4058320259007,78.4067136398633,-0.6073370312050147,0.024352722090099397,-20.355845864732803,True
FCFS_R,wait_standard_mean,279.9051672660133,146.00944028465926,202.66512667507286,137.48597995750995,-0.5446659701128377,0.042542356979767014,-27.595074912473432,True
FCFS_R,wait_economy_mean,286.1927745402745,126.9865234227339,214.8360928885929,108.16272833316235,-0.6049702035991705,0.02493831812488618,-24.9330828726565,True
FCFS_R,revenue,30632.208333333332,1171.6697235024137,29745.083333333332,1329.1383852790584,-0.7080683618955481,0.009198962246511054,-2.896053037856396,True
FCFS_R,sla_violations,56.9,7.484873635094539,55.96666666666667,7.296041544716025,-0.1262786730391056,0.6324298247167368,-1.6403046280023375,False
FCFS_R,gini_overall,0.4573177997613623,0.03865410937682508,0.5191805830541443,0.05044532971956385,1.3766211495697047,2.669565720391736e-06,6.1862783292782,True
